transaction_id,date,product_id,product_name,quantity,unit_price,total_amount,payment_method,store_location,customer_id
T5001,2024-01-15,P101,Organic Coffee,3,12.99,38.97,Credit Card,Manhattan,C1001
T5002,2024-01-15,P205,Smart Watch,1,199.99,199.99,PayPal,Brooklyn,C1015
T5003,2024-01-16,P308,Yoga Mat,2,24.99,49.98,Debit Card,Queens,C1008
T5004,2024-01-16,P412,Running Shoes,1,89.99,89.99,Credit Card,Bronx,C1003
T5005,2024-01-17,P156,Protein Powder,2,29.99,59.98,Cash,Staten Island,C1019
T5006,2024-01-17,P267,Wireless Earbuds,1,149.99,149.99,Credit Card,Manhattan,C1012
T5007,2024-01-18,P389,Water Bottle,4,9.99,39.96,Debit Card,Brooklyn,C1007
T5008,2024-01-18,P445,Fitness Tracker,1,79.99,79.99,PayPal,Queens,C1016
T5009,2024-01-19,P523,Resistance Bands,3,15.99,47.97,Credit Card,Bronx,C1004
T50010,2024-01-19,P167,Blender,1,69.99,69.99,Cash,Manhattan,C1011
T50011,2024-01-20,P289,Foam Roller,2,19.99,39.98,Credit Card,Brooklyn,C1018
T50012,2024-01-20,P334,Protein Bars,5,3.99,19.95,Debit Card,Queens,C1002
T50013,2024-01-21,P478,Gym Bag,1,45.99,45.99,PayPal,Staten Island,C1014
T50014,2024-01-21,P512,Jump Rope,2,12.99,25.98,Credit Card,Manhattan,C1009
T50015,2024-01-22,P645,Workout Gloves,1,17.99,17.99,Cash,Brooklyn,C1006
T50016,2024-01-22,P723,Yoga Block,3,8.99,26.97,Credit Card,Queens,C1013
T50017,2024-01-23,P856,Exercise Mat,1,34.99,34.99,Debit Card,Bronx,C1017
T50018,2024-01-23,P934,Shaker Bottle,2,7.99,15.98,PayPal,Manhattan,C1005
T50019,2024-01-24,P167,Massage Ball,3,11.99,35.97,Credit Card,Brooklyn,C1010
T50020,2024-01-24,P289,Resistance Tube,2,13.99,27.98,Cash,Queens,C1020
